A. Simons,PTS,21.5,0.
B. McLemore,PTS,10.5,0.
C. Elleby,PTS,9.5,0.
D. Bane,PTS,19.5,0.
G. Brown,PTS,5.5,0.
J. Jackson,PTS,19.5,0.
J. Hart,PTS,16.5,0.
J. Winslow,PTS,11.5,0.
J. Nurkic,PTS,16.5,0.
S. Adams,PTS,7.5,0.
T. Watford,PTS,6.5,0.
Z. Williams,PTS,8.5,0.
A. Simons,REB,2.5,0.
B. McLemore,REB,1.5,0.
C. Elleby,REB,4.5,0.
D. Bane,REB,4.5,0.
G. Brown,REB,3.5,0.
J. Jackson,REB,6.5,0.
J. Hart,REB,6.5,0.
J. Winslow,REB,6.5,0.
J. Nurkic,REB,10.5,0.
S. Adams,REB,10.5,0.
T. Watford,REB,3.5,0.
Z. Williams,REB,2.5,0.
A. Simons,AST,5.5,0.
B. McLemore,AST,0.5,0.
C. Elleby,AST,2.5,0.
D. Bane,AST,3.5,0.
G. Brown,AST,0.5,0.
J. Jackson,AST,1.5,0.
J. Hart,AST,3.5,0.
J. Winslow,AST,3.5,0.
J. Nurkic,AST,3.5,0.
S. Adams,AST,3.5,0.
T. Watford,AST,1.5,0.
Z. Williams,AST,1.5,0.
A. Simons,3PM,4.5,0.
B. McLemore,3PM,2.5,0.
C. Elleby,3PM,1.5,0.
D. Bane,3PM,2.5,0.
G. Brown,3PM,0.5,0.
J. Jackson,3PM,1.5,0.
J. Hart,3PM,1.5,0.
J. Winslow,3PM,0.5,0.
J. Nurkic,3PM,0.5,0.
T. Watford,3PM,0.5,0.
Z. Williams,3PM,0.5,0.
